"Treatment Function Name","total_waiting","within_18_weeks","waiting_over_18_weeks"
Trauma and Orthopaedic Service,837743,482753,354990
Ear Nose and Throat Service,587637,323953,263684
Gynaecology Service,565435,327377,238058
Other - Medical Services,624597,421212,203385
Ophthalmology Service,602540,425095,177445
Other - Surgical Services,476457,302598,173859
General Surgery Service,385499,232439,153060
Oral Surgery Service,322932,173050,149882
Dermatology Service,381323,233592,147731
Urology Service,386911,247126,139785
Cardiology Service,382774,252042,130732
Gastroenterology Service,379573,250159,129414
Other - Paediatric Services,316672,204951,111721
Neurology Service,216273,124444,91829
Respiratory Medicine Service,185125,132713,52412
Plastic Surgery Service,103747,56735,47012
Other - Other Services,153307,114714,38593
Rheumatology Service,114276,76958,37318
Neurosurgical Service,56821,34372,22449
General Internal Medicine Service,37666,25638,12028
