"Commissioner Parent Name","total_waiting"
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,405873
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,344921
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,343407
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,293377
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,252826
NHS SUSSEX INTEGRATED CARE BOARD,249185
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,238113
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,235711
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,228580
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,218749
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,214008
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,204102
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,200309
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,199166
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,194575
