"Provider Org Name","seen_within_18_weeks"
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,16653
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,16130
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,15489
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,15195
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,13832
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,13785
LEEDS TEACHING HOSPITALS NHS TRUST,13687
BARTS HEALTH NHS TRUST,13261
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,12594
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,12323
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,12262
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,11816
MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,11750
ROYAL FREE LONDON NHS FOUNDATION TRUST,11736
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,11671
