"Commissioner Parent Name","Commissioner Org Name","incomplete_pathways_total"
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,NHS NORTH WEST LONDON (SUB ICB LOCATION),293377
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,NHS NORTH EAST LONDON (SUB ICB LOCATION),252826
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,NHS KENT AND MEDWAY (SUB ICB LOCATION),228580
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,NHS SOUTH EAST LONDON (SUB ICB LOCATION),218749
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,NHS SOUTH WEST LONDON (SUB ICB LOCATION),204102
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,NHS NORTH CENTRAL LONDON (SUB ICB LOCATION),200309
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT (SUB ICB LOCATION)",176717
NHS BLACK COUNTRY INTEGRATED CARE BOARD,NHS BLACK COUNTRY (SUB ICB LOCATION),171701
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,"NHS BIRMINGHAM, SOLIHULL AND WEST BIRMINGHAM (SUB ICB LOCATION)",156469
NHS DEVON INTEGRATED CARE BOARD,NHS DEVON (SUB ICB LOCATION),154269
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,NHS SURREY HEARTLANDS (SUB ICB LOCATION),143805
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,NHS NORFOLK AND WAVENEY (SUB ICB LOCATION),131658
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES (SUB ICB LOCATION)",130902
NHS SUSSEX INTEGRATED CARE BOARD,NHS WEST SUSSEX (SUB ICB LOCATION),127618
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,NHS COVENTRY AND WARWICKSHIRE (SUB ICB LOCATION),121848
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,NHS CAMBRIDGESHIRE AND PETERBOROUGH (SUB ICB LOCATION),119971
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,NHS NOTTINGHAM AND NOTTINGHAMSHIRE (SUB ICB LOCATION),115905
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,"NHS DERBY, DERBYSHIRE AND GLOSSOP (SUB ICB LOCATION)",114938
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE (SUB ICB LOCATION)",113583
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,NHS LINCOLNSHIRE (SUB ICB LOCATION),109009
